Country,City,Starting_a_business score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score,Overall_ease_of_doing_business_score,Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score
Armenia,Armenia,96.1,73.1,87.7,88.6,70.0,42.0,81.5,91.7,69.7,44.6,74.5,Colombia,Armenia,85.16305726387355,,,63.66256928661085,,,56.96058871510648,,68.3158938659014,
Armenia,Armenia,96.1,73.1,87.7,88.6,70.0,42.0,81.5,91.7,69.7,44.6,74.5,Colombia,Armenia,85.92920629046455,55.7059564550979,,72.69938372538665,,,67.94193268334712,,,
Armenia,Armenia,96.1,73.1,87.7,88.6,70.0,42.0,81.5,91.7,69.7,44.6,74.5,Colombia,Armenia,86.73124240113965,55.86905274465939,,63.91406147245191,,,60.91893928082978,,,
Niger,Niger,91.5,44.1,52.7,58.3,70.0,42.0,49.4,65.4,54.7,39.3,56.8,Nigeria,Niger,70.49600687625286,84.34095865524783,,29.545454545454543,,,,,,
Niger,Niger,91.5,44.1,52.7,58.3,70.0,42.0,49.4,65.4,54.7,39.3,56.8,Nigeria,Niger,73.07751987188941,73.726896976281,,37.861452537775016,,,,,,
Niger,Niger,91.5,44.1,52.7,58.3,70.0,42.0,49.4,65.4,54.7,39.3,56.8,Nigeria,Niger,76.94376323716568,82.94080517546651,,35.31766017771981,,,,,,
