Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score,Overall_ease_of_doing_business_score
Panama,Panama,92,68.2,83.5,65.2,80,56,46.7,85.5,49,39.5,66.6
Papua New Guinea,Papua New Guinea,80.1,64.5,65.5,56.2,70,60,67.2,65.8,36.2,32.2,59.8
Paraguay,Paraguay,76,71.1,70.4,66.1,40,34,64.1,65.1,61.6,42.1,59.1
Peru,Peru,82.1,72.5,74.5,72.1,75,68,65.8,71.3,59.1,46.6,68.7
Philippines,Philippines,71.3,70,87.4,57.6,40,60,72.6,68.4,46,55.1,62.8
Poland,Poland,82.9,76.4,82.3,63.9,75,66,76.4,100,64.4,76.5,76.4
Portugal,Portugal,90.9,73.2,83.3,78.4,45,62,83.7,100,67.9,80.2,76.5
Puerto Rico (U.S.),Puerto Rico (U.S.),91.2,59.6,73.5,46.3,95,56,52,81.9,61.8,83.3,70.1
Qatar,Qatar,86.1,84.2,83.6,96.2,45,28,99.4,71.5,54.6,38,68.7
Romania,Romania,87.7,58.4,53.7,75,80,62,85.2,100,72.2,59.1,73.3
Russian Federation,Russian Federation,,,,,,,,,,,
Russian Federation Moscow,Russian Federation Moscow,92.8,78.2,97.8,88.6,80,60,79.4,74,72.7,59.1,78.3
Russian Federation Saint Petersburg,Russian Federation Saint Petersburg,93.6,80.5,96.8,88.6,80,60,83,66.5,71.1,59.1,77.9
Rwanda,Rwanda,93.2,70.6,82.3,93.7,95,44,84.6,75,69.1,57.2,76.5
Samoa,Samoa,92.6,68.8,79.7,69.1,45,40,75.7,57.8,58.6,33.4,62.1
San Marino,San Marino,87.3,68.9,88.3,61.5,30,26,82,97.5,59.2,41.1,64.2
São Tomé and Príncipe,São Tomé and Príncipe,78.2,66.6,62.1,41.1,25,20,61.8,66,28.8,0,45
Saudi Arabia,Saudi Arabia,93.1,78.3,91.8,84.5,60,86,80.5,76,65.3,0,71.6
Senegal,Senegal,91.2,62.1,65.2,58.3,65,44,51.2,60.9,50.6,44.3,59.3
Serbia,Serbia,89.3,85.3,73.2,71.8,65,70,75.3,96.6,63.1,67,75.7
Seychelles,Seychelles,78.8,67.3,71.3,70.8,35,34,84.7,71.8,51.2,52.2,61.7
Sierra Leone,Sierra Leone,91.3,38.4,31.6,42.8,25,40,73,51.9,55.9,24.7,47.5
Singapore,Singapore,98.2,87.9,91.8,83.1,75,86,91.6,89.6,84.5,74.3,86.2
Slovak Republic,Slovak Republic,84.8,59.4,83.3,90.2,70,56,80.6,100,66.1,65.5,75.6
Slovenia,Slovenia,93,65.3,89.2,72.1,45,78,83.3,100,54.8,84.4,76.5
Solomon Islands,Solomon Islands,85.6,49.5,69.6,47.4,50,38,83.8,53.4,43.5,31.9,55.3
Somalia,Somalia,46,0,0,48.2,0,0,0,51.6,54.6,0,20
South Africa,South Africa,81.2,68.3,68.8,59.5,60,80,81.2,59.6,56.9,54.6,67
South Sudan,South Sudan,71,50.5,0,36.8,10,16,76.7,26.2,59,0,34.6
Spain,Spain,86.9,70.8,83,71.7,60,72,84.7,100,70.9,79.2,77.9
Sri Lanka,Sri Lanka,88.2,72.3,74.5,51.9,40,72,59.8,73.3,41.2,45,61.8
