Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score
Afghanistan,Kabul,92.0766162245117,24.29971181556196,60.059302765372195,33.33333333333333,,,,,,
Afghanistan,Kandahar,86.1942632833352,47.942363112391924,56.48008054672166,49.30887825624668,,,,,,
Afghanistan,Balkh,86.1942632833352,46.78962536023054,58.7087189939618,42.291334396597556,,,,,,
Afghanistan,Nangarhar,85.94300700192818,37.84053794428434,57.25944363164297,43.02232854864434,,,,,,
Afghanistan,Herat,85.94300700192818,32.388088376561,51.93260151977139,27.77777777777777,,,,,,
Albania,Durres,89.23311385398782,57.72539359651375,,74.40295122948665,,,,,62.166888469903846,
Albania,Shkodra,90.11787861747044,62.22454199576088,,74.88142012900819,,,,,62.94358261827406,
Albania,Vlora,90.22405038908835,60.39067921952246,,74.72193049583434,,,,,63.02554983138881,
Albania,Tirana,89.05616090129129,0,,73.44601343044359,,,,,60.539617486338805,
Austria,Bregenz,82.20787480787159,82.62939570795265,86.00107402985195,78.17490696438065,,,,,,
Austria,Graz,80.95159340083642,73.99603032883601,86.32115769224212,81.43115364167996,,,,,,
Austria,Innsbruck,82.20787480787159,78.46581959929318,91.340263526958,78.49388623072834,,,,,,
Austria,Klagenfurt,81.95661852646455,65.8966651140751,89.95773187424838,77.69643806485912,,,,,,
Austria,Linz,81.95661852646455,68.46761781009708,93.06671849767342,81.9096225412015,,,,,,
Austria,Salzburg,82.96164365209269,73.91143531126622,89.26678858913165,76.73950026581606,,,,,,
Austria,Vienna,81.70536224505751,71.52470410792277,88.74064709046479,81.5906432748538,,,,,,
Belgium,Antwerp,87.55791711298346,77.5767998347726,64.47584993731816,51.51267101329282,,,,,,
Belgium,Bruges,87.55791711298346,74.26386057283548,61.577299212680465,52.476059467100875,,,,,,
Belgium,Brussels,87.55791711298346,75.34890090432432,60.61649018046836,43.56726521330548,,,,,,
Belgium,Charleroi,87.55791711298346,74.68880176472241,67.88248176081093,46.123485789327106,,,,,,
Belgium,Ghent,87.55791711298346,70.17485104069104,68.09903834311525,52.46745859408088,,,,,,
Belgium,Liège,87.55791711298346,72.03777444874589,67.54272569728859,45.96399615615326,,,,,,
Belgium,Namur,87.55791711298346,73.72536480979493,67.88248176081093,45.482301929249225,,,,,,
Bosnia and Herzegovina,Banja Luka,77.70649482437629,53.37080501834138,,59.88950488508153,,,,,42.944697241398046,
